VISIT_AREA_NM,REVISIT_INTENTION,RCMDTN_INTENTION,X_COORD,Y_COORD,Total_value
가평 도그랜드카라반,5,5,127.3553238,37.83596824,10
가평 숲으로가는길 펜션,6,6,127.3807172,37.7759664,12
가평 이든펜션,6,6,127.437366,37.99505691,12
가평 조은마트,31,32,127.5163156,37.82398813,63
가평가보자순대국밥,9,9,127.5125568,37.82573076,18
가평계곡,5,4,127.456191,37.820916,9
가평고등학교,4,4,127.513123,37.81827025,8
가평군농협하나로마트 본점,24,23,127.5141732,37.83017079,47
가평군농협하나로마트 북면점,9,10,127.5488846,37.88386159,19
가평군농협하나로마트 설악점,9,9,127.4914541,37.67768139,18
가평군농협하나로마트 자라점,7,6,127.5150275,37.81449057,13
가평군농협하나로마트 조종점,11,10,127.3488305,37.81765508,21
가평군농협하나로마트 청평점,42,44,127.4151943,37.73510312,86
가평군어린이음악놀이터,5,5,127.5132748,37.82641236,10
가평달맞이밥상,5,5,127.364124,37.76626507,10
가평달맞이빵,12,12,127.3644198,37.76641552,24
가평대교,3,3,127.4955623,37.7042752,6
가평레일파크,52,53,127.5158437,37.82897063,105
가평레저파크,5,4,127.5529989,37.89167688,9
가평메밀촌 가평점,3,3,127.5143973,37.81663398,6
가평명품잣순두부,4,5,127.3630397,37.76270421,9
가평뮤직빌리지 음악역1939,16,16,127.5132455,37.82447725,32
가평브릿지짚라인,2,3,127.4675111,37.83427177,5
가평빠지이비자수상레저,4,4,127.5409784,37.75700521,8
가평산토리니펜션,10,10,127.3805596,37.7617754,20
가평소나무펜션,3,4,127.4108065,37.75322064,7
가평손두부,8,8,128.3247646,36.54613122,16
가평숯불막국수 본점,8,8,127.5128649,37.74873397,16
가평양떼목장,5,5,127.4720015,37.64361034,10
가평양떼목장카페,14,14,127.4737365,37.64382863,28
가평역 경춘선,142,142,127.5107394,37.81452005,284
가평용추계곡 공영주차장,5,5,127.4796083,37.86009466,10
가평잣고을낭만음악회,4,4,126.3859695,33.31927276,8
가평잣고을시장,26,27,127.515052,37.82978135,53
가평잣고을시장닭갈비,4,3,128.6378384,35.89984054,7
가평잣소라네농원,4,4,127.5230815,37.87430299,8
가평잣진우농산,2,2,127.5050506,37.84497496,4
가평초등학교,2,4,127.5072536,37.83071704,6
가평축협한우명가,5,5,127.5163099,37.81598774,10
가평탑랜드,9,10,127.5260289,37.80604151,19
가평터미널,6,6,127.5154657,37.82459008,12
가평토속메밀전,4,4,127.515206,37.8297158,8
가평프리미엄키즈풀빌라,8,8,127.3454048,37.86114953,16
가평휴게소,4,4,127.8146745,37.95207868,8
가평휴게소 서울방향,22,22,127.5435148,37.70161689,44
가평휴게소 춘천방향,9,9,127.5468237,37.70193315,18
가평힐링레저 글램핑&캠핑,5,5,127.5361092,37.77227523,10
